,city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,Laguna,38.421,-121.4238,104.65,40,20,1.01,US,1627498821
347,Kahului,20.8947,-156.47,84.97,82,33,8.99,US,1627498546
348,Acurenam,1.0322,10.6488,67.19,98,100,3.51,GQ,1627498822
349,Bebra,50.9667,9.8,68.86,78,0,6.69,DE,1627498822
350,San Martín,-33.081,-68.4681,52.16,26,0,8.9,AR,1627498823
351,Guerrero Negro,27.9769,-114.0611,81.55,53,0,14.23,MX,1627498824
352,Hay River,60.8156,-115.7999,67.98,64,75,5.75,CA,1627498665
353,Port Elizabeth,-33.918,25.5701,56.1,74,100,6.64,ZA,1627498825
354,Pyaozerskiy,65.8333,31.1667,59.83,88,30,7.76,RU,1627498826
355,Vanavara,60.34,102.2797,66.49,63,100,3.36,RU,1627498826
356,Passo de Camaragibe,-9.2368,-35.4901,81.95,73,5,4.88,BR,1627498827
357,St. George's,12.0564,-61.7485,78.48,89,75,11.5,GD,1627498659
358,Rawson,-43.3002,-65.1023,55.13,35,18,12.93,AR,1627498828
359,Talas,38.6908,35.5538,68.67,37,0,10.36,TR,1627498830
360,Sæby,57.3319,10.5225,66.96,88,19,9.62,DK,1627498576
361,São Félix do Xingu,-6.6447,-51.995,96.89,20,0,3.31,BR,1627498831
362,Coahuayana Viejo,18.7333,-103.6833,90.23,57,68,6.15,MX,1627498831
363,Quatre Cocos,-20.2078,57.7625,67.08,86,100,26.33,MU,1627498832
364,Fuldatal,51.3833,9.5667,69.19,68,20,6.91,DE,1627498833
365,Portoferraio,42.8115,10.3146,80.02,87,0,9.66,IT,1627498834
366,Bassar,9.25,0.7833,71.31,94,100,2.57,TG,1627498834
367,Adwa,14.1646,38.8955,64.58,90,100,6.46,ET,1627498835
368,Saldanha,-33.0117,17.9442,53.96,69,37,8.41,ZA,1627498836
369,Sault Ste. Marie,46.5168,-84.3333,79.36,47,75,6.91,CA,1627498553
370,Raja,8.4596,25.678,69.62,95,93,3.65,SS,1627498837
371,Grand-Santi,4.25,-54.3833,82.08,74,100,2.24,GF,1627498838
372,Bonita Springs,26.3398,-81.7787,89.98,57,46,11.05,US,1627498805
373,Mâncio Lima,-7.6142,-72.8958,90.16,47,75,1.59,BR,1627498839
374,Kolondiéba,11.0882,-6.8926,76.39,83,98,5.12,ML,1627498840
375,Kuala Terengganu,5.3302,103.1408,80.31,81,96,4.65,MY,1627498841
376,Dhidhdhoo,6.8833,73.1,82.74,76,99,13.53,MV,1627498841
377,Kyrylivka,46.3759,35.3675,77.11,67,10,8.95,UA,1627498842
378,Meadow Lake,34.8014,-106.5436,89.82,32,15,8.21,US,1627498843
379,Dunedin,-45.8742,170.5036,49.8,57,81,15.99,NZ,1627498843
380,George Town,5.4112,100.3354,82.89,76,20,2.3,MY,1627498809
381,Poum,-20.2333,164.0167,72.19,64,95,14.97,NC,1627498845
382,Yangi Marg`ilon,40.4272,71.7189,81.32,36,5,6.91,UZ,1627498845
383,Kyaikkami,16.08,97.5675,80.37,86,100,13.42,MM,1627498846
384,Lambaréné,-0.7001,10.2406,76.91,75,60,6.29,GA,1627498847
385,Toamasina,-18.1667,49.3833,66.65,85,17,11.27,MG,1627498847
386,Vilhena,-12.7406,-60.1458,82.81,33,0,5.93,BR,1627498848
387,Alenquer,-1.9417,-54.7383,94.37,34,35,4.85,BR,1627498849
388,Sitka,57.0531,-135.33,64.72,61,11,4.32,US,1627498783
389,Leningradskiy,69.3833,178.4167,33.26,99,100,17.31,RU,1627498850
390,Lavrentiya,65.5833,-171.0,43.79,99,100,7.67,RU,1627498850
391,Salihorsk,52.7876,27.5415,71.55,68,87,4.65,BY,1627498851
392,Tezu,27.9167,96.1667,77.68,91,100,4.34,IN,1627498852
393,Obo,5.3998,26.4869,68.36,93,100,2.04,CF,1627498853
394,Hokitika,-42.7167,170.9667,45.77,90,31,5.88,NZ,1627498853
395,Qaqortoq,60.7167,-46.0333,54.1,78,73,6.17,GL,1627498854
396,Jesenice,46.4306,14.0669,72.99,88,10,4.81,SI,1627498855
397,Khasan,42.4308,130.6434,73.02,86,9,3.4,RU,1627498855
398,Balloch,56.0,-4.5833,61.88,72,40,12.66,GB,1627498856
399,Strezhevoy,60.7333,77.5889,57.18,94,94,2.68,RU,1627498856
400,Cayenne,4.9333,-52.3333,86.04,76,20,7.0,GF,1627498806
401,Karachi,24.9056,67.0822,84.02,79,90,13.8,PK,1627498857
402,Innisfail,-17.5333,146.0333,62.85,87,91,4.27,AU,1627498858
403,Alihe,50.5667,123.7167,60.19,96,72,2.24,CN,1627498859
404,San Quintín,30.4833,-115.95,76.86,67,1,14.58,MX,1627498859
405,Labuhan,-6.8844,112.2051,73.92,82,9,8.5,ID,1627498860
406,Kismayo,-0.3582,42.5454,76.15,81,56,18.48,SO,1627498861
407,Puerto Rico,-26.796,-55.024,56.25,35,1,8.08,AR,1627498862
408,Tayshet,55.9342,98.0044,54.1,94,100,10.49,RU,1627498863
409,Ucluelet,48.9329,-125.5528,83.95,80,0,1.01,CA,1627498631
410,Mbini,1.574,9.6134,76.33,85,100,5.48,GQ,1627498864
411,Tuban,-6.8976,112.0649,73.94,81,7,8.28,ID,1627498864
412,Il’inskiy,55.619,38.1182,66.78,94,0,8.95,RU,1627498865
413,Vallenar,-28.5708,-70.7581,72.34,20,0,5.26,CL,1627498866
414,Paso de Carrasco,-34.8603,-56.0522,49.24,76,75,26.46,UY,1627498816
415,Egvekinot,66.3167,-179.1667,36.72,92,100,4.81,RU,1627498867
416,Dingle,10.9995,122.6711,78.21,84,100,9.26,PH,1627498867
417,Chernyshevskiy,63.0128,112.4714,62.91,76,13,3.71,RU,1627498868
418,Lompoc,34.6391,-120.4579,83.1,80,75,1.01,US,1627498868
419,Seoul,37.5683,126.9778,80.2,89,40,1.14,KR,1627498092
420,Svetlaya,46.5389,138.3297,67.96,87,83,5.59,RU,1627498869
421,Fort Nelson,58.8053,-122.7002,72.43,35,6,6.71,CA,1627498807
422,Mopipi,-21.1833,24.8833,57.61,37,0,2.82,BW,1627498870
423,Plouzané,48.3833,-4.6167,62.92,74,75,11.5,FR,1627498870
424,Manacapuru,-3.2997,-60.6206,91.98,38,18,0.67,BR,1627498871
425,Nikšić,42.7731,18.9445,82.56,32,0,2.08,ME,1627498698
426,Kidal,18.4411,1.4078,90.59,41,50,7.99,ML,1627498872
427,Codrington,-38.2667,141.9667,45.99,86,8,13.24,AU,1627498872
428,Road Town,18.4167,-64.6167,86.2,66,40,9.22,VG,1627498625
429,Raduzhny,62.0961,77.475,55.27,93,100,6.89,RU,1627498873
430,‘Āhuimanu,21.4447,-157.8378,80.31,75,90,10.36,US,1627498874
431,Severnyy,50.677,36.5532,73.44,64,0,4.47,RU,1627498875
432,Kriel,-26.2739,29.2253,45.77,36,0,5.28,ZA,1627498875
433,Champerico,14.3,-91.9167,87.94,71,96,6.78,GT,1627498876
434,Beringovskiy,63.05,179.3167,47.03,76,99,12.03,RU,1627498876
435,Nyagan,62.1406,65.3936,43.88,96,74,7.2,RU,1627498877
436,Meulaboh,4.1363,96.1285,76.1,90,89,3.51,ID,1627498877
437,Itarema,-2.9248,-39.9167,83.62,66,3,17.76,BR,1627498878
438,Sur,22.5667,59.5289,94.93,44,100,19.93,OM,1627498879
439,Molteno,-31.3968,26.3625,48.51,44,83,9.01,ZA,1627498879
440,Sioux Lookout,50.1001,-91.917,80.98,42,100,7.92,CA,1627498880
441,Luohe,33.5717,114.0353,75.33,74,100,17.52,CN,1627498880
442,Longyearbyen,78.2186,15.6401,42.64,93,90,11.5,SJ,1627498881
443,Zharkent,44.1628,80.0,75.58,34,0,3.02,KZ,1627498881
444,Hofn,64.2539,-15.2082,50.02,100,90,5.75,IS,1627498882
445,Bathsheba,13.2167,-59.5167,82.44,76,100,15.59,BB,1627498883
446,Nemuro,43.3236,145.575,66.04,100,100,9.8,JP,1627498883
447,Alta Floresta,-9.8756,-56.0861,96.98,18,0,4.63,BR,1627498837
448,Shirokiy,49.758,129.523,65.5,93,93,4.81,RU,1627498884
449,Ituango,7.1712,-75.764,78.44,56,72,3.89,CO,1627498885
450,Minot,48.2325,-101.2963,92.17,18,89,17.98,US,1627498720
451,South Kazakhstan Region,43.0,68.0,78.75,19,0,6.06,KZ,1627498886
452,Palmer,42.1584,-72.3287,80.31,56,90,1.01,US,1627498886
453,Sharjah city,25.3573,55.4033,92.95,58,94,6.55,AE,1627498887
454,Opuwo,-18.0607,13.84,62.87,24,2,7.25,NA,1627498887
455,Tocopilla,-22.092,-70.1979,67.53,52,31,8.39,CL,1627498888
456,Cabo San Lucas,22.8909,-109.9124,96.8,63,4,7.7,MX,1627498804
457,Carora,10.1755,-70.0827,93.16,34,64,6.67,VE,1627498889
458,Tessalit,20.1986,1.0114,98.06,22,14,4.9,ML,1627498890
459,Kostolac,44.7149,21.1711,90.23,33,3,6.76,RS,1627498891
460,Ossora,59.2353,163.0719,53.91,67,60,1.72,RU,1627498892
461,Montevideo,-34.8335,-56.1674,48.81,77,75,15.01,UY,1627498862
462,Kaduqli,11.0167,29.7167,75.94,82,100,5.01,SD,1627498893
463,Bhiwandi,19.3,73.0667,82.26,84,100,13.58,IN,1627498893
464,Isiro,2.7739,27.616,66.38,98,79,0.89,CD,1627498894
465,Caranavi,-15.8167,-67.55,52.65,98,100,2.28,BO,1627498894
466,Dawlatabad,36.4141,64.9053,84.36,11,0,8.84,AF,1627498895
467,Wajima,37.4,136.9,77.11,81,99,6.02,JP,1627498896
468,Ayan,56.45,138.1667,58.28,97,100,14.03,RU,1627498896
469,Belsand,26.45,85.4,85.64,77,26,4.65,IN,1627498897
470,Oranjestad,12.524,-70.027,81.09,79,0,17.13,AW,1627498898
471,Saurimo,-9.6608,20.3916,65.03,25,0,1.25,AO,1627498899
472,Ahipara,-35.1667,173.1667,53.28,91,32,3.91,NZ,1627498899
473,Olot,42.181,2.4901,76.8,40,30,1.83,ES,1627498825
474,Isoka,-10.1606,32.6335,55.67,48,51,1.77,ZM,1627498900
475,Lyskovo,56.0328,45.0422,62.44,57,23,5.95,RU,1627498901
476,Abu Samrah,35.3029,37.1841,83.77,29,0,15.28,SY,1627498901
477,Bouar,5.934,15.596,65.82,94,99,2.39,CF,1627498902
478,Sinnamary,5.3833,-52.95,82.33,79,20,10.25,GF,1627498903
479,Mogocha,53.7333,119.7667,55.49,94,87,2.57,RU,1627498904
480,Westport,41.1415,-73.3579,83.3,51,0,1.99,US,1627498904
481,Mandalgovi,45.7625,106.2708,66.74,56,85,0.47,MN,1627498905
482,Tsagan Aman,47.5639,46.7218,82.17,26,92,4.38,RU,1627498906
483,Kendari,-3.945,122.4989,74.43,94,100,3.18,ID,1627498906
484,Adra,36.7496,-3.0206,98.82,88,3,4.05,ES,1627498906
485,Doha,25.2867,51.5333,96.78,67,100,2.3,QA,1627498907
486,Santa Rosa,14.3122,121.1114,81.91,91,100,7.25,PH,1627498780
487,Solnechnyy,50.7214,136.6319,69.82,96,100,1.72,RU,1627498908
488,Hervey Bay,-25.2986,152.8535,65.59,84,90,12.55,AU,1627498908
489,Pahrump,36.2083,-115.9839,100.11,24,48,4.0,US,1627498368
490,Port Blair,11.6667,92.75,81.9,86,100,18.77,IN,1627498909
491,Nanortalik,60.1432,-45.2371,47.14,86,73,11.41,GL,1627498910
492,Qandala,11.472,49.8728,88.95,51,98,19.95,SO,1627498911
493,Pemba,-12.974,40.5178,75.69,69,1,17.83,MZ,1627498911
494,Bereda,43.2686,-7.5406,65.41,78,0,6.58,ES,1627498912
495,Goderich,43.7501,-81.7165,83.03,65,0,8.21,CA,1627498891
496,Galeana,24.8333,-100.0667,76.32,53,84,9.15,MX,1627498913
497,Allāpalli,19.4167,80.0667,74.62,97,100,2.46,IN,1627498913
498,Havre-St-Pierre,50.2334,-63.5986,66.56,68,90,14.97,CA,1627498914
499,Provincia di Cagliari,39.245,9.0912,85.95,65,0,9.22,IT,1627498914
500,Ilhabela,-23.7781,-45.3581,56.23,91,100,9.26,BR,1627498878
501,Bubaque,11.2833,-15.8333,78.01,88,100,15.86,GW,1627498915
502,Aykhal,66.0,111.5,65.89,73,12,5.46,RU,1627498915
503,Saint Stephen,50.3333,-4.9,63.39,77,40,18.41,GB,1627498916
504,Urusha,54.05,122.9,56.23,99,44,3.24,RU,1627498917
505,Kamaishi,39.2667,141.8833,72.36,98,100,4.34,JP,1627498917
506,Belmonte,-15.8631,-38.8828,81.1,74,1,11.72,BR,1627498918
507,Kvarkeno,52.0833,59.725,58.5,70,0,7.18,RU,1627498918
508,Vila Velha,-20.3297,-40.2925,79.97,66,17,11.16,BR,1627498919
509,Xining,36.6167,101.7667,52.2,73,0,3.29,CN,1627498919
510,Port Hedland,-20.3167,118.5667,62.65,77,4,8.05,AU,1627498920
511,Vidim,56.4088,103.1106,64.92,58,18,0.92,RU,1627498920
512,Payo,-3.7508,103.6372,69.94,77,57,2.84,ID,1627498921
513,Seymchan,62.8833,152.4333,44.26,75,96,8.48,RU,1627498922
514,Knysna,-34.0363,23.0471,51.48,80,0,4.09,ZA,1627498922
515,Dalkola,25.85,87.85,81.91,86,66,7.52,IN,1627498923
516,Cheremnoye,53.1697,83.2133,59.59,58,31,1.28,RU,1627498924
517,Caravelas,-17.7125,-39.2481,78.06,72,5,9.84,BR,1627498926
518,Pilar do Sul,-23.8131,-47.7164,54.36,87,100,6.26,BR,1627498857
519,Hobyo,5.3505,48.5268,77.61,78,86,22.12,SO,1627498927
520,Shache,38.4167,77.2406,85.3,20,8,9.13,CN,1627498927
521,Yar-Sale,66.8333,70.8333,44.76,88,14,4.5,RU,1627498928
522,Anadyr,64.75,177.4833,46.0,87,100,17.0,RU,1627498928
523,Port Augusta,-32.5,137.7667,41.7,81,0,3.65,AU,1627498929
524,Richards Bay,-28.783,32.0377,59.99,55,0,3.94,ZA,1627498929
525,San Jose,37.3394,-121.895,95.27,49,75,4.61,US,1627498872
526,Vestmannaeyjar,63.4427,-20.2734,58.19,77,20,9.22,IS,1627498721
527,Kangaatsiaq,68.3065,-53.4641,44.33,88,91,7.0,GL,1627498930
528,Arroyo de la Encomienda,41.6096,-4.7969,85.21,30,0,9.22,ES,1627498930
529,Nelson Bay,-32.7167,152.15,56.08,81,0,14.97,AU,1627498931
530,Srednekolymsk,67.45,153.6833,36.14,99,100,10.16,RU,1627498931
531,Oranjemund,-28.55,16.4333,54.54,91,0,9.4,NA,1627498932
532,Najrān,17.4924,44.1277,90.01,30,100,4.34,SA,1627498932
533,Bristol,41.8334,-71.1662,76.62,70,40,1.99,US,1627498910
534,Tegul'det,57.3064,88.1667,57.6,65,100,1.97,RU,1627498933
535,Miyoshi City,35.0833,137.0667,80.22,90,51,2.46,JP,1627498934
536,Maun,-19.9833,23.4167,56.55,34,0,4.5,BW,1627498934
537,Daloa,6.8774,-6.4502,71.04,97,77,4.07,CI,1627498935
538,Oruzgan,32.8333,66.0,81.77,18,9,2.77,AF,1627498935
539,Huanren,41.2647,125.3667,71.69,97,100,1.03,CN,1627498935
540,Whitehorse,60.7161,-135.0538,62.1,58,87,8.01,CA,1627498807
541,Grindavik,63.8424,-22.4338,59.47,77,0,16.11,IS,1627498936
542,Bagdarin,54.4333,113.6,56.25,95,100,3.4,RU,1627498936
543,Kushmurun,52.4503,64.6311,60.6,55,98,11.3,KZ,1627498937
544,Tikrit,34.6071,43.6782,93.92,19,0,10.89,IQ,1627498937
545,Jinchang,38.4953,102.1739,75.24,21,0,8.46,CN,1627498938
546,Solano,38.2333,-121.9511,99.28,30,20,10.36,US,1627498938
547,Port-Gentil,-0.7193,8.7815,76.53,80,100,14.88,GA,1627498939
548,Nuuk,64.1835,-51.7216,48.81,76,75,18.41,GL,1627498940
549,Biryusinsk,55.9634,97.8235,54.28,95,100,10.8,RU,1627498940
550,Lata,40.1629,-8.3327,84.04,54,0,5.75,PT,1627498941
551,Coyhaique,-45.5752,-72.0662,45.5,82,100,6.33,CL,1627498941
552,Sumenep,-7.0167,113.8667,77.76,80,6,7.2,ID,1627498942
553,Itoman,26.1247,127.6694,80.62,94,75,5.75,JP,1627498942
554,Uruçuca,-14.5931,-39.2844,79.34,63,36,5.86,BR,1627498943
555,Dalbandin,28.8947,64.4101,94.32,11,100,7.87,PK,1627498944
556,San Lorenzo,-25.3333,-57.5333,60.62,23,0,14.88,PY,1627498944
557,Maceió,-9.6658,-35.7353,81.84,61,0,6.91,BR,1627498775
558,Rørvik,64.8621,11.2373,76.98,56,40,11.5,NO,1627498945
559,Santiago de Cao,-7.9589,-79.2392,68.59,79,71,15.17,PE,1627498946
560,Pundaguitan,6.3711,126.1689,84.06,74,76,12.01,PH,1627498946
561,Guiratinga,-16.3494,-53.7583,81.23,36,2,10.89,BR,1627498947
562,Tibiri,13.5627,7.0485,84.61,55,100,9.91,NE,1627498947
563,Slave Lake,55.2834,-114.769,71.58,37,23,6.17,CA,1627498948
564,Wahiawā,21.5028,-158.0236,77.32,77,100,8.61,US,1627498948
565,Alice Springs,-23.7,133.8833,54.95,71,0,8.05,AU,1627498949
566,Muscle Shoals,34.7448,-87.6675,95.86,54,0,4.0,US,1627498950
567,Wuxi,31.5689,120.2886,81.99,94,88,11.88,CN,1627498737
568,Warrington,53.3925,-2.5802,60.8,77,40,5.01,GB,1627498951
569,Cañon City,38.441,-105.2424,96.28,26,1,4.0,US,1627498952
570,Tolaga Bay,-38.3667,178.3,45.55,83,2,5.46,NZ,1627498952
571,Komsomolets,53.7453,62.0708,51.8,64,5,7.14,KZ,1627498953
