,city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Castro,-24.7911,-50.0119,51.42,41,5,10.38,BR,1627498688
81,Hobart,-42.8794,147.3294,45.27,73,71,3.0,AU,1627498422
82,Sandpoint,48.2766,-116.5533,89.46,38,1,1.99,US,1627498689
83,Narsaq,60.9167,-46.05,51.39,70,87,6.26,GL,1627498690
84,Benjamin Constant,-4.3831,-70.0311,87.93,70,40,3.44,BR,1627498690
85,Petatlán,17.5167,-101.2667,89.19,60,89,6.67,MX,1627498690
86,Wagga Wagga,-35.1167,147.3667,39.61,93,7,4.61,AU,1627498691
87,Pisco,-13.7,-76.2167,67.01,72,0,9.22,PE,1627498691
88,Goundam,16.4145,-3.6708,91.26,45,99,6.76,ML,1627498692
89,El Jícaro,14.9167,-89.9,92.73,55,48,2.62,GT,1627498692
90,Akdağmadeni,39.6603,35.8836,54.86,73,0,9.73,TR,1627498692
91,Chicama,-7.8447,-79.1469,64.94,60,49,11.18,PE,1627498693
92,Ponta do Sol,32.6667,-17.1,75.7,75,1,3.67,PT,1627498693
93,Chincha Alta,-13.4099,-76.1323,65.75,66,20,7.07,PE,1627498549
94,Nikolskoye,59.7035,30.7861,67.39,97,100,3.89,RU,1627498478
95,Havelock,34.8791,-76.9013,84.02,89,100,5.99,US,1627498694
96,Baghdad,33.3406,44.4009,100.31,17,0,9.22,IQ,1627498621
97,Kargasok,59.0556,80.8572,56.26,82,60,7.83,RU,1627498695
98,Mehamn,71.0357,27.8492,48.38,92,100,7.76,NO,1627498519
99,Point Pedro,9.8167,80.2333,82.98,80,60,17.49,LK,1627498695
100,Cape Town,-33.9258,18.4232,56.88,71,75,3.0,ZA,1627498558
101,Waipawa,-41.4122,175.5153,45.93,88,3,4.09,NZ,1627498696
102,Kaitangata,-46.2817,169.8464,46.92,82,26,4.47,NZ,1627498696
103,Stephenville,32.2207,-98.2023,94.24,43,1,4.61,US,1627498697
104,Stellenbosch,-33.9346,18.8668,55.6,79,41,8.03,ZA,1627498697
105,Bethel,41.3712,-73.414,81.68,57,0,1.99,US,1627498470
106,Nome,64.5011,-165.4064,51.17,98,100,18.14,US,1627498535
107,Puerto Colombia,10.9878,-74.9547,89.69,73,17,17.05,CO,1627498699
108,Olafsvik,64.8945,-23.7142,53.11,85,100,15.5,IS,1627498699
109,Jérémie,18.65,-74.1167,85.08,71,19,6.2,HT,1627498699
110,Aklavik,68.2191,-135.0107,64.4,72,75,4.61,CA,1627498700
111,Khatanga,71.9667,102.5,72.09,61,17,8.95,RU,1627498700
112,Bellary,15.15,76.9333,75.22,76,100,17.69,IN,1627498700
113,Kavaratti,10.5669,72.642,82.27,78,100,16.69,IN,1627498701
114,Ribeira Grande,38.5167,-28.7,77.4,65,40,12.66,PT,1627498468
115,Torbay,47.6666,-52.7314,75.97,83,40,14.97,CA,1627498702
116,Busselton,-33.65,115.3333,58.08,77,84,25.95,AU,1627498703
117,Avera,33.194,-82.5271,93.7,50,100,4.07,US,1627498668
118,Hong Kong,22.2855,114.1577,86.32,87,100,1.01,HK,1627498500
119,Mahébourg,-20.4081,57.7,70.09,83,75,20.71,MU,1627498703
120,Kavieng,-2.5744,150.7967,81.79,76,86,6.73,PG,1627498704
121,São José da Coroa Grande,-8.8978,-35.1478,78.12,72,1,6.46,BR,1627498704
122,Mount Gambier,-37.8333,140.7667,44.51,100,75,8.05,AU,1627498705
123,Mayo,38.8876,-76.5119,94.08,58,36,1.99,US,1627498546
124,Acapulco de Juárez,16.8634,-99.8901,86.45,66,78,8.19,MX,1627498529
125,East London,-33.0153,27.9116,61.74,88,75,8.05,ZA,1627498706
126,Tarko-Sale,64.9225,77.785,48.79,91,63,4.59,RU,1627498706
127,Tecpan,14.7623,-90.9947,70.92,67,36,5.08,GT,1627498707
128,Dmitriyevka,54.75,55.3333,54.95,57,10,2.04,RU,1627498707
129,La Santisima Trinidad,-14.8333,-64.9,70.86,24,87,9.19,BO,1627498708
130,Amuntai,-2.4177,115.2494,74.71,95,44,0.78,ID,1627498708
131,San Jerónimo,-11.9472,-75.2829,62.78,35,74,5.97,PE,1627498709
132,Lorengau,-2.0226,147.2712,81.86,78,100,5.66,PG,1627498709
133,Rurrenabaque,-14.4413,-67.5278,66.09,63,90,0.0,BO,1627498710
134,Ereymentau,51.6199,73.1033,60.67,48,90,7.38,KZ,1627498710
135,Prince Rupert,54.3161,-130.3201,60.49,88,100,0.0,CA,1627498711
136,Vao,-22.6667,167.4833,69.28,66,97,15.99,NC,1627498711
137,Talnakh,69.4865,88.3972,55.54,84,100,3.24,RU,1627498712
138,Bengkulu,-3.8004,102.2655,75.09,85,48,3.91,ID,1627498459
139,Miyako,39.6367,141.9525,72.16,99,100,6.55,JP,1627498713
140,Saint-Augustin,51.226,-58.6502,67.5,67,28,14.76,CA,1627498713
141,Port Hardy,50.6996,-127.4199,60.98,77,40,4.61,CA,1627498489
142,Portland,45.5234,-122.6762,89.47,49,100,1.01,US,1627498440
143,Mossamedes,-15.1961,12.1522,64.53,90,13,7.09,AO,1627498575
144,Chaoyang,41.5703,120.4586,75.96,74,100,2.42,CN,1627498715
145,Suntar,62.1444,117.6319,59.18,65,34,4.56,RU,1627498716
146,São Miguel do Araguaia,-13.275,-50.1628,95.29,14,0,5.19,BR,1627498716
147,Saint George,37.1041,-113.5841,99.63,26,14,1.99,US,1627498718
148,Peleduy,59.6289,112.7406,63.75,68,3,5.5,RU,1627498718
